Cow_ID,Quarter,IMI_species,SCC
675,LH,,11000
675,LF,,17000
675,RH,,21000
675,RF,,33000
697,LH,,27000
697,LF,,13000
697,RH,Contaminated,30000
697,RF,,25000
745,LH,,19000
745,LF,,14000
745,RH,,42000
745,RF,,19000
713,LH,,130000
713,LF,,130000
713,RH,,180000
713,RF,,200000
761,LH,CNS,81000
761,LF,,7000
761,RH,,4000
761,RF,,5000
708,LH,,22000
708,LF,,17000
708,RH,,17000
708,RF,,17000
722,LH,Coryne,26000
722,LF,Contaminated,26000
722,RH,,15000
722,RF,,13000
CB3,LH,Contaminated,14000
CB3,LF,,8000
CB3,RH,Contaminated,13000
CB3,RF,Coryne,6000
685,LH,,56000
685,LF,,40000
685,RH,,33000
685,RF,,47000
664,LH,,730000
664,LF,,28000
664,RH,,11000
664,RF,,15000
755,LH,,20000
755,LF,,14000
755,RH,,16000
755,RF,,16000
743,LH,,11000
743,LF,Contaminated,15000
743,RH,Contaminated,14000
743,RF,,9000
616,LH,,25000
616,LF,,22000
616,RH,Contaminated,24000
616,RF,,25000
758,LH,,5000
758,LF,Contaminated,4000
758,RH,,5000
758,RF,,5000
757,LH,,11000
757,LF,,5000
757,RH,,7000
757,RF,,6000
656,LH,Mix_SA_Strep,1600000
656,LF,,64000
656,RH,,26000
656,RF,,60000
754,LH,,8000
754,LF,Other_Gram_positive,4000
754,RH,,0
754,RF,,3000
CB5,LH,CNS,59000
CB5,LF,CNS,29000
CB5,RH,,5000
CB5,RF,,7000
585,LH,,9000
585,LF,,16000
585,RH,,23000
585,RF,CNS,1500000
727,LH,,93000
727,LF,Contaminated,44000
727,RH,,25000
727,RF,,44000
741,LH,,32000
741,LF,,15000
741,RH,Unknown,36000
741,RF,,18000
749,LH,,8000
749,LF,,9000
