,date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment,uniqueID,,scc_div_100k,ls,ls_no_neg
1738,1.3.2020,first,OughtaBe,34,applepie,RF,cns,yes27,strep,yes27,,,,,27,OB049,OB050,,,,,,,yes,,yes,NA,NA,NA,NA,NA,1200000,,,applepie_RF_first,,12,6.584962501,6.585
212,3.3.2020,third,Butterworks,1,masala,RF,cns,yes2,,,,,,,2,BW115,,,,,,,,no,,yes,NA,NA,NA,NA,NA,0,,,masala_RF_third,,0.00001,-13.60964047,0
213,3.3.2020,third,Butterworks,2,muffin,LH,cns,yes2,,,,,,,2,BW116,,,,,,,,no,,yes,NA,NA,NA,NA,NA,0,,,muffin_LH_third,,0.00001,-13.60964047,0
215,3.3.2020,third,Butterworks,2,muffin,RH,cns,yes2,,,,,,,2,BW118,,,,,,,,no,,yes,NA,NA,NA,NA,NA,0,,,muffin_RH_third,,0.00001,-13.60964047,0
362,12.13.2019,first,Swallowdale,7,skyler,RF,cns,yes1,,,,,,,1,SW009,,,,,,,,no,,yes,NA,NA,NA,NA,NA,0,,,skyler_RF_first,,0.00001,-13.60964047,0
1073,1.21.2020,second,Choiniere,16,7,RH,cns,yes1,,,,,,,1,CF103,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,7_RH_second,,0.02,-2.64385619,0
1293,3.16.2020,fourth,Choiniere,30,7,RF,cns,yes2,,,,,,,2,CF232,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,7_RF_fourth,,0.02,-2.64385619,0
1908,3.12.2020,third,OughtaBe,11,izzie,LF,cns,yes2,,,,,,,2,OB128,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,izzie_LF_third,,0.02,-2.64385619,0
2335,3.20.2020,third,Paddlebridge,30,chapstick1,RH,cns,yes1,,,,,,,1,PB095,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,chapstick1_RH_third,,0.02,-2.64385619,0
2756,1.6.2020,first,vonTrapp,32,imogene,LH,cns,yes1,,,,,,,1,VT029,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,imogene_LH_first,,0.02,-2.64385619,0
2947,3.10.2020,third,vonTrapp,22,iris,LH,cns,yes1,,,,,,,1,VT090,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,iris_LH_third,,0.02,-2.64385619,0
