"","date","visit","farm","order","cow_id","quarter","path_1","path1_IMI","path_2","path2_IMI","path_3","path3_IMI","path_4","path4_IMI","quarter_code","isolate_1","isolate_2","isolate_3","isolate_4","clinical","blind","teatinj","pstmilking","mixed_inf_series","dup_not_collected","IMI_series","hygiene_1","hygiene_2","cc_1","cc_2","cc_3","scc","contam","contam_comment","uniqueID","scc_eq_above_200k","scc_eq_above_100k"
"67","2.4.2020","second","Butterworks",11,"rhubarb","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",5000,"","","rhubarb_RH_second","no","no"
"68","2.4.2020","second","Butterworks",12,"snowball","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",44000,"","","snowball_LF_second","no","no"
"69","2.4.2020","second","Butterworks",13,"nebula","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",38000,"","","nebula_LH_second","no","no"
"70","2.4.2020","second","Butterworks",13,"nebula","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",42000,"","","nebula_LF_second","no","no"
"71","2.4.2020","second","Butterworks",13,"nebula","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",130000,"","","nebula_RF_second","no","yes"
"72","2.4.2020","second","Butterworks",14,"joy","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",12000,"","","joy_LH_second","no","no"
"73","2.4.2020","second","Butterworks",14,"joy","LF","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",6000,"","","joy_LF_second","no","no"
"74","2.4.2020","second","Butterworks",14,"joy","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",460000,"","","joy_RH_second","yes","yes"
"75","2.4.2020","second","Butterworks",14,"joy","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",19000,"","","joy_RF_second","no","no"
"76","2.4.2020","second","Butterworks",15,"mustard","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",15000,"","","mustard_LH_second","no","no"
"77","2.4.2020","second","Butterworks",15,"mustard","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",23000,"","","mustard_LF_second","no","no"
"78","2.4.2020","second","Butterworks",15,"mustard","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",17000,"","","mustard_RH_second","no","no"
"79","2.4.2020","second","Butterworks",15,"mustard","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",39000,"","","mustard_RF_second","no","no"
"80","2.4.2020","second","Butterworks",16,"hawthorn","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",39000,"","","hawthorn_LH_second","no","no"
"81","2.4.2020","second","Butterworks",16,"hawthorn","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",33000,"","","hawthorn_LF_second","no","no"
"82","2.4.2020","second","Butterworks",16,"hawthorn","RF","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",35000,"","","hawthorn_RF_second","no","no"
"83","2.4.2020","second","Butterworks",17,"nona","LH","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",69000,"","","nona_LH_second","no","no"
"84","2.4.2020","second","Butterworks",17,"nona","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",24000,"","","nona_LF_second","no","no"
"85","2.4.2020","second","Butterworks",17,"nona","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",43000,"","","nona_RH_second","no","no"
"86","2.4.2020","second","Butterworks",17,"nona","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",24000,"","","nona_RF_second","no","no"
"87","2.4.2020","second","Butterworks",18,"marjoram","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",18000,"","","marjoram_LH_second","no","no"
"88","2.4.2020","second","Butterworks",18,"marjoram","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",24000,"","","marjoram_LF_second","no","no"
"89","2.4.2020","second","Butterworks",18,"marjoram","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",22000,"","","marjoram_RF_second","no","no"
"90","2.4.2020","second","Butterworks",19,"nazareth","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",3e+05,"","","nazareth_LH_second","yes","yes"
"91","2.4.2020","second","Butterworks",19,"nazareth","RH","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",95000,"","","nazareth_RH_second","no","no"
"92","2.4.2020","second","Butterworks",21,"avocado","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",4000,"","","avocado_LH_second","no","no"
"93","2.4.2020","second","Butterworks",21,"avocado","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",27000,"","","avocado_RF_second","no","no"
"94","2.4.2020","second","Butterworks",22,"aurora","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",4000,"","","aurora_LH_second","no","no"
"95","2.4.2020","second","Butterworks",22,"aurora","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",84000,"","","aurora_RH_second","no","no"
"96","2.4.2020","second","Butterworks",22,"aurora","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",19000,"","","aurora_RF_second","no","no"
"97","2.4.2020","second","Butterworks",23,"love","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",0,"","","love_LH_second","no","no"
"98","2.4.2020","second","Butterworks",23,"love","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",6000,"","","love_LF_second","no","no"
"99","2.4.2020","second","Butterworks",23,"love","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",4000,"","","love_RF_second","no","no"
