date,visit,farm,order,cow_id,quarter,path_1,path1_imi,path_2,path2_imi,path_3,path3_imi,path_4,path4_imi,quarter_code,isolate_1,path_1_maldi_final_id,fix_1,isolate_2,path_2_maldi_final_id,fix_2,isolate_3,path_3_maldi_final_id,fix_3,isolate_4,path_4_maldi_final_id,fix_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,imi_series,hygiene_scorer_1,hygiene_1,hygiene_scorer_2,hygiene_2,cc_1,cc_2,cc_3,path_group,scc,contam,contam_comment
1.22.2020,second,swallowdale,11,amber,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,6000,,
1.22.2020,second,swallowdale,12,gretchen,LH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,4000,,
1.22.2020,second,swallowdale,12,gretchen,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,25000,,
1.22.2020,second,swallowdale,12,gretchen,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,6000,,
1.22.2020,second,swallowdale,12,gretchen,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,2,NA,NA,NA,NA,NA,none,8000,,
1.22.2020,second,swallowdale,13,maisie,LH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,3000,,
1.22.2020,second,swallowdale,13,maisie,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,11000,,
1.22.2020,second,swallowdale,13,maisie,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,3000,,
1.22.2020,second,swallowdale,13,maisie,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,5000,,
1.22.2020,second,swallowdale,14,cambric,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,9000,,
1.22.2020,second,swallowdale,14,cambric,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,13000,,
1.22.2020,second,swallowdale,15,quantum,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,5000,,
1.22.2020,second,swallowdale,15,quantum,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,6000,,
1.22.2020,second,swallowdale,15,quantum,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,1,NA,NA,NA,NA,NA,none,7000,,
1.22.2020,second,swallowdale,16,shelly,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,NA,NA,NA,NA,NA,NA,none,12000,,
1.22.2020,second,swallowdale,16,shelly,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,NA,NA,NA,NA,NA,NA,none,8000,,
1.22.2020,second,swallowdale,16,shelly,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,NA,NA,NA,NA,NA,NA,none,9000,,
1.22.2020,second,swallowdale,16,shelly,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,j,NA,NA,NA,NA,NA,NA,none,23000,,
