,date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment,uniqueID
55,1.2.2020,first,Butterworks,25,melissa,LH,cns,yes2,,,,,,,2,BW067,,,,,,,,no,,yes,NA,NA,NA,NA,NA,310000,,,melissa_LH_first
56,1.2.2020,first,Butterworks,25,melissa,LF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,9000,,,melissa_LF_first
57,1.2.2020,first,Butterworks,25,melissa,RH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,3000,,,melissa_RH_first
58,1.2.2020,first,Butterworks,25,melissa,RF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,0,,,melissa_RF_first
59,1.2.2020,first,Butterworks,26,petunia,LH,cns,yes2,,,,,,,2,BW046,,,,,,,,no,,yes,NA,NA,NA,NA,NA,83000,,,petunia_LH_first
60,1.2.2020,first,Butterworks,26,petunia,LF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,7000,,,petunia_LF_first
61,1.2.2020,first,Butterworks,26,petunia,RH,strep,yes2,,,,,,,2,BW047,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000000,,,petunia_RH_first
62,1.2.2020,first,Butterworks,26,petunia,RF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,58000,,,petunia_RF_first
63,1.2.2020,first,Butterworks,27,crescent,LH,cns,yes2,,,,,,,2,BW048,,,,,,,,no,,yes,NA,NA,NA,NA,NA,470000,,,crescent_LH_first
64,1.2.2020,first,Butterworks,27,crescent,LF,cns,yes2,,,,,,,2,BW049,,,,,,,,no,,yes,NA,NA,NA,NA,NA,74000,,,crescent_LF_first
65,1.2.2020,first,Butterworks,27,crescent,RH,cns,yes2,,,,,,,2,BW050,,,,,,,,no,,yes,NA,NA,NA,NA,NA,170000,,,crescent_RH_first
66,1.2.2020,first,Butterworks,27,crescent,RF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,39000,,,crescent_RF_first
67,1.2.2020,first,Butterworks,28,peace,LF,sa,yes2,,,,,,,2,BW051,,,,,,,,no,,yes,NA,NA,NA,NA,NA,350000,,,peace_LF_first
68,1.2.2020,first,Butterworks,28,peace,RH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,14000,,,peace_RH_first
69,1.2.2020,first,Butterworks,29,bon,LH,strep,yes27,cns,yes27,,,,,27,BW054,BW055,,,,,,,yes,,yes,NA,NA,NA,NA,NA,5000,,,bon_LH_first
70,1.2.2020,first,Butterworks,29,bon,RH,yeast,yes2,,,,,,,2,BW052,,,,,,,,no,,yes,NA,NA,NA,NA,NA,140000,,,bon_RH_first
71,1.2.2020,first,Butterworks,29,bon,RF,cns,yes2,,,,,,,2,BW053,,,,,,,,no,,yes,NA,NA,NA,NA,NA,310000,,,bon_RF_first
72,1.2.2020,first,Butterworks,30,applecore,LH,sa,yes2,,,,,,,2,BW056,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8900000,,,applecore_LH_first
73,1.2.2020,first,Butterworks,30,applecore,LF,,,,,,,,,6,,,,,,,,,,,,NA,NA,NA,NA,NA,200000,,,applecore_LF_first
74,1.2.2020,first,Butterworks,30,applecore,RH,sa,yes2,,,,,,,2,BW057,,,,,,,,no,,yes,NA,NA,NA,NA,NA,320000,,,applecore_RH_first
75,1.2.2020,first,Butterworks,30,applecore,RF,sa,yes2,,,,,,,2,BW058,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3800000,,,applecore_RF_first
76,1.2.2020,first,Butterworks,31,chipotle,LH,cns,yes2,,,,,,,2,BW059,,,,,,,,no,,yes,NA,NA,NA,NA,NA,280000,,,chipotle_LH_first
77,1.2.2020,first,Butterworks,31,chipotle,LF,cns,yes2,,,,,,,2,BW060,,,,,,,,no,,yes,NA,NA,NA,NA,NA,160000,,,chipotle_LF_first
78,1.2.2020,first,Butterworks,31,chipotle,RF,cns,yes2,,,,,,,2,BW061,,,,,,,,no,,yes,NA,NA,NA,NA,NA,120000,,,chipotle_RF_first
79,1.2.2020,first,Butterworks,32,lilac,LH,,,,,,,,,6,,,,,,,,,,,,NA,NA,NA,NA,NA,13000,,,lilac_LH_first
