farm,uniqueID,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,IMI_series
Glennview,169_RF_first,169,RF,sa,yes2,,,,,,,2,GV033,,,,yes
Glennview,169_RF_second,169,RF,sa,yes2,,,,,,,2,GV086,,,,yes
Glennview,169_RF_third,169,RF,sa,yes2,,,,,,,2,GV156,,,,yes
Glennview,27_LH_first,27,LH,sa,yes27,strep,yes27,,,,,27,GV028,GV029,,,yes
Glennview,27_LH_second,27,LH,strep,other12,sa,other12,,,,,12,GV067,GV068,,,no
Glennview,27_LH_third,27,LH,strep,yes27,sa,yes27,,,,,27,GV142,GV143,,,yes
,,,,,,,,,,,,,,,,,
Lynd,cheese_LF_first,cheese,LF,sa,yes2,,,,,,,2,LF001,,,,yes
Lynd,cheese_LF_second,cheese,LF,sa,yes2,,,,,,,2,LF082,,,,yes
Lynd,moonwalk_LH_first,moonwalk,LH,sa,yes2,,,,,,,2,LF029,,,,yes
Lynd,moonwalk_RF_first,moonwalk,RF,sa,yes2,,,,,,,2,LF030,,,,yes
,,,,,,,,,,,,,,,,,
OughtaBe,easter_RF_first,easter,RF,sa,yes2,,,,,,,2,OB001,,,,yes
OughtaBe,easter_RF_second,easter,RF,sa,yes2,,,,,,,2,OB055,,,,yes
OughtaBe,ginger_LH_first,ginger,LH,sa,yes29,strep,other29,,,,,29,OB052,OB054,,,yes
OughtaBe,ginger_RH_third,ginger,RH,sa,other22,strep,other22,cns,other22,,,22,OB164,OB165,OB166,,no
OughtaBe,gold_RH_second,gold,RH,sa,yes2,,,,,,,2,OB090,,,,yes
OughtaBe,gold_RH_third,gold,RH,sa,yes2,,,,,,,2,OB149,,,,yes
OughtaBe,honey_RF_first,honey,RF,sa,yes2,,,,,,,2,OB040,,,,yes
OughtaBe,honey_RF_second,honey,RF,sa,yes2,,,,,,,2,OB096,,,,yes
OughtaBe,honey_RF_third,honey,RF,sa,yes2,sa,other18,,,,,2,OB156,OB157,,,yes
OughtaBe,jersey_LF_first,jersey,LF,sa,yes2,,,,,,,2,OB019,,,,yes
OughtaBe,jersey_LF_second,jersey,LF,sa,yes2,,,,,,,2,OB074,,,,yes
OughtaBe,jersey_LF_third,jersey,LF,sa,yes2,,,,,,,2,OB121,,,,yes
