date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment
1.2.2020,first,Butterworks,19,Manzana,RH,CNS,yes2,,,,,,,2,BW031,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,19,Manzana,RF,CNS,yes2,,,,,,,2,BW032,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,20,Love,LH,Corynebac,yes2,,,,,,,2,BW033,,,,,,,,,,yes,,,,,,,,
1.2.2020,first,Butterworks,20,Love,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,20,Love,RH,Corynebac,other26,Corynebac,other26,,,,,26,BW034,BW068,,,,,,,,,no,,,,,,,,
1.2.2020,first,Butterworks,20,Love,RF,CNS,yes2,,,,,,,2,BW035,,,,,,,,,,yes,,,,,,,,
1.2.2020,first,Butterworks,21,Mandolin,LH,CNS,yes2,,,,,,,2,BW036,,,,,,,,,,yes,,,,,,,,
1.2.2020,first,Butterworks,21,Mandolin,LF,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,21,Mandolin,RH,Corynebac,yes2,,,,,,,2,BW037,,,,,,,,,,yes,,,,,,,,
1.2.2020,first,Butterworks,21,Mandolin,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,22,Avocado,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,22,Avocado,LF,CNS,yes2,,,,,,,2,BW038,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,22,Avocado,RH,CNS,yes2,,,,,,,2,BW039,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,22,Avocado,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,23,Jolene,LH,Strep,yes29,,,,,,,29,BW040,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,23,Jolene,LF,Strep,yes1,CNS,no5,,,,,1,BW041,BW042,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,23,Jolene,RH,,,,,,,,,32,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,23,Jolene,RF,CNS,yes2,,,,,,,2,BW043,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,24,Nellie,LH,,,,,,,,,8,,,,,,,,,,,,,,,,,,yes,
1.2.2020,first,Butterworks,24,Nellie,LF,,,,,,,,,13,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,24,Nellie,RH,CNS,yes2,,,,,,,2,BW044,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,24,Nellie,RF,Strep,yes2,,,,,,,2,BW045,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,25,Melissa,LH,CNS,yes2,,,,,,,2,BW067,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,25,Melissa,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,25,Melissa,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,25,Melissa,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,26,Petunia,LH,CNS,yes2,,,,,,,2,BW046,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,26,Petunia,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,26,Petunia,RH,Strep,yes2,,,,,,,2,BW047,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,26,Petunia,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,27,Crescent,LH,CNS,yes2,,,,,,,2,BW048,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,27,Crescent,LF,CNS,yes2,,,,,,,2,BW049,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,27,Crescent,RH,CNS,yes2,,,,,,,2,BW050,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,27,Crescent,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,28,Peace,LH,,,,,,,,,8,,,,,,,,,,,,,,,,,,yes,
1.2.2020,first,Butterworks,28,Peace,LF,SA,yes2,,,,,,,2,BW051,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,28,Peace,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,28,Peace,RF,,,,,,,,,8,,,,,,,,,,,,,,,,,,yes,minor
1.2.2020,first,Butterworks,29,Bon,LH,Strep,yes27,CNS,yes27,,,,,27,BW054,BW055,,,,,,,yes,,yes,,,,,,,,
1.2.2020,first,Butterworks,29,Bon,LF,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,29,Bon,RH,Yeast,yes2,,,,,,,2,BW052,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,29,Bon,RF,CNS,yes2,,,,,,,2,BW053,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,30,AppleCore,LH,SA,yes2,,,,,,,2,BW056,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,30,AppleCore,LF,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,30,AppleCore,RH,SA,yes2,,,,,,,2,BW057,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,30,AppleCore,RF,SA,yes2,,,,,,,2,BW058,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,31,Chipotle,LH,CNS,yes2,,,,,,,2,BW059,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,31,Chipotle,LF,CNS,yes2,,,,,,,2,BW060,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,31,Chipotle,RH,,,,,,,,,8,,,,,,,,,,,,,,,,,,yes,
1.2.2020,first,Butterworks,31,Chipotle,RF,CNS,yes2,,,,,,,2,BW061,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,32,Lilac,LH,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,32,Lilac,LF,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,32,Lilac,RH,SA,yes2,,,,,,,2,BW062,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,32,Lilac,RF,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,33,Plantain,LH,CNS,yes2,,,,,,,2,BW063,,,,,,,,no,,yes,,,,,,,,
