"","cow_id","quarter","first_visit","first_IMI_species","first_SCC","first_cow_quarter","first_visit_cow_quarter","second_visit","second_IMI_species","second_SCC","second_cow_quarter","second_visit_cow_quarter","third_visit","third_IMI_species","third_SCC","third_cow_quarter","third_visit_cow_quarter"
"82","733","LH","first","","15,000","733_LH","first_733_LH","second","","6,000","733_LH","second_733_LH","third","Other Gram-positive bacteria","10,000","733_LH","third_733_LH"
"83","733","RF","first","Staph. aureus","277,000","733_RF","first_733_RF","second","Staph. aureus","270,000","733_RF","second_733_RF","third","Sample contaminated","410,000","733_RF","third_733_RF"
"84","733","RH","first","","14,000","733_RH","first_733_RH","second","","7,000","733_RH","second_733_RH","third","","17,000","733_RH","third_733_RH"
"85","738","LF","first","","3,000","738_LF","first_738_LF","second","","3,000","738_LF","second_738_LF","third","","3,000","738_LF","third_738_LF"
"86","738","LH","first","","10,000","738_LH","first_738_LH","second","","4,000","738_LH","second_738_LH","third","Sample contaminated","20,000","738_LH","third_738_LH"
"87","738","RF","first","","4,000","738_RF","first_738_RF","second","","0","738_RF","second_738_RF","third","","5,000","738_RF","third_738_RF"
"88","738","RH","first","","5,000","738_RH","first_738_RH","second","","11,000","738_RH","second_738_RH","third","Strep. species","7,000","738_RH","third_738_RH"
"89","739","LF","first","","0","739_LF","first_739_LF","second","","3,000","739_LF","second_739_LF","third","","6,000","739_LF","third_739_LF"
"90","739","LH","first","Staph. species","36,000","739_LH","first_739_LH","second","Staph. species","23,000","739_LH","second_739_LH","third","Staph. species","66,000","739_LH","third_739_LH"
"91","739","RF","first","","6,000","739_RF","first_739_RF","second","","0","739_RF","second_739_RF","third","","6,000","739_RF","third_739_RF"
"92","739","RH","first","","0","739_RH","first_739_RH","second","Unknown organism","13,000","739_RH","second_739_RH","third","","4,000","739_RH","third_739_RH"
"93","741","LF","first","","14,000","741_LF","first_741_LF","second","","6,000","741_LF","second_741_LF","third","","15,000","741_LF","third_741_LF"
"94","741","LH","first","","58,000","741_LH","first_741_LH","second","","42,000","741_LH","second_741_LH","third","","32,000","741_LH","third_741_LH"
"95","741","RF","first","","12,000","741_RF","first_741_RF","second","","4,000","741_RF","second_741_RF","third","","18,000","741_RF","third_741_RF"
"96","741","RH","first","","28,000","741_RH","first_741_RH","second","","9,000","741_RH","second_741_RH","third","Unknown organism","36,000","741_RH","third_741_RH"
"97","743","LF","first","","2,000","743_LF","first_743_LF","second","Sample contaminated","15,000","743_LF","second_743_LF","third","","7,000","743_LF","third_743_LF"
"98","743","LH","first","","5,000","743_LH","first_743_LH","second","","11,000","743_LH","second_743_LH","third","","3,000","743_LH","third_743_LH"
"99","743","RF","first","","3,000","743_RF","first_743_RF","second","","9,000","743_RF","second_743_RF","third","","7,000","743_RF","third_743_RF"
"100","743","RH","first","","5,000","743_RH","first_743_RH","second","Sample contaminated","14,000","743_RH","second_743_RH","third","","3,000","743_RH","third_743_RH"
"101","744","LF","first","","9,000","744_LF","first_744_LF","second","","24,000","744_LF","second_744_LF","third","","12,000","744_LF","third_744_LF"
"102","744","LH","first","","12,000","744_LH","first_744_LH","second","","22,000","744_LH","second_744_LH","third","","13,000","744_LH","third_744_LH"
"103","744","RF","first","","6,000","744_RF","first_744_RF","second","","23,000","744_RF","second_744_RF","third","","10,000","744_RF","third_744_RF"
"104","744","RH","first","","12,000","744_RH","first_744_RH","second","","29,000","744_RH","second_744_RH","third","","16,000","744_RH","third_744_RH"
"105","745","LF","first","","4,000","745_LF","first_745_LF","second","","14,000","745_LF","second_745_LF","third","","23,000","745_LF","third_745_LF"
"106","745","LH","first","","7,000","745_LH","first_745_LH","second","","19,000","745_LH","second_745_LH","third","","22,000","745_LH","third_745_LH"
"107","745","RF","first","","6,000","745_RF","first_745_RF","second","","19,000","745_RF","second_745_RF","third","","20,000","745_RF","third_745_RF"
"108","745","RH","first","","14,000","745_RH","first_745_RH","second","","42,000","745_RH","second_745_RH","third","","42,000","745_RH","third_745_RH"
"109","748","LF","first","","83,000","748_LF","first_748_LF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","748","LH","first","","13,000","748_LH","first_748_LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","748","RF","first","","2,000","748_RF","first_748_RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","748","RH","first","","20,000","748_RH","first_748_RH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","749","LF","first","","6,000","749_LF","first_749_LF","second","","2,000","749_LF","second_749_LF","third","","9,000","749_LF","third_749_LF"
"114","749","LH","first","","5,000","749_LH","first_749_LH","second","","3,000","749_LH","second_749_LH","third","","8,000","749_LH","third_749_LH"
"115","749","RF","first","","3,000","749_RF","first_749_RF","second","","0","749_RF","second_749_RF","third","","11,000","749_RF","third_749_RF"
"116","749","RH","first","","10,000","749_RH","first_749_RH","second","","12,000","749_RH","second_749_RH","third","","11,000","749_RH","third_749_RH"
"117","753","LF","first","","9,000","753_LF","first_753_LF","second","","5,000","753_LF","second_753_LF","third","","18,000","753_LF","third_753_LF"
"118","753","LH","first","","12,000","753_LH","first_753_LH","second","","0","753_LH","second_753_LH","third","","39,000","753_LH","third_753_LH"
"119","753","RF","first","","9,000","753_RF","first_753_RF","second","","2,000","753_RF","second_753_RF","third","","25,000","753_RF","third_753_RF"
"120","753","RH","first","","11,000","753_RH","first_753_RH","second","","4,000","753_RH","second_753_RH","third","","24,000","753_RH","third_753_RH"
"121","754","LF","first","","8,000","754_LF","first_754_LF","second","","5,000","754_LF","second_754_LF","third","Other Gram-positive bacteria","4,000","754_LF","third_754_LF"
"122","754","LH","first","","23,000","754_LH","first_754_LH","second","","14,000","754_LH","second_754_LH","third","","8,000","754_LH","third_754_LH"
"123","754","RF","first","","5,000","754_RF","first_754_RF","second","","4,000","754_RF","second_754_RF","third","","3,000","754_RF","third_754_RF"
"124","754","RH","first","Sample contaminated","8,000","754_RH","first_754_RH","second","","5,000","754_RH","second_754_RH","third","","0","754_RH","third_754_RH"
"125","755","LF","first","","10,000","755_LF","first_755_LF","second","","14,000","755_LF","second_755_LF","third","","8,000","755_LF","third_755_LF"
"126","755","LH","first","Unknown organism","8,000","755_LH","first_755_LH","second","","20,000","755_LH","second_755_LH","third","","6,000","755_LH","third_755_LH"
"127","755","RF","first","Corynebacterium species","5,000","755_RF","first_755_RF","second","","16,000","755_RF","second_755_RF","third","","6,000","755_RF","third_755_RF"
"128","755","RH","first","Corynebacterium species","9,000","755_RH","first_755_RH","second","","16,000","755_RH","second_755_RH","third","","7,000","755_RH","third_755_RH"
"129","757","LF","first","Staph. species","3,000","757_LF","first_757_LF","second","","2,000","757_LF","second_757_LF","third","","5,000","757_LF","third_757_LF"
"130","757","LH","first","","13,000","757_LH","first_757_LH","second","","9,000","757_LH","second_757_LH","third","","11,000","757_LH","third_757_LH"
"131","757","RF","first","","2,000","757_RF","first_757_RF","second","","2,000","757_RF","second_757_RF","third","","6,000","757_RF","third_757_RF"
"132","757","RH","first","","5,000","757_RH","first_757_RH","second","","6,000","757_RH","second_757_RH","third","","7,000","757_RH","third_757_RH"
"133","758","LF",NA,NA,NA,NA,NA,"second","","7,000","758_LF","second_758_LF","third","Sample contaminated","4,000","758_LF","third_758_LF"
"134","758","LH",NA,NA,NA,NA,NA,"second","","22,000","758_LH","second_758_LH","third","","5,000","758_LH","third_758_LH"
"135","758","RF",NA,NA,NA,NA,NA,"second","","4,000","758_RF","second_758_RF","third","","5,000","758_RF","third_758_RF"
"136","758","RH",NA,NA,NA,NA,NA,"second","","8,000","758_RH","second_758_RH","third","","5,000","758_RH","third_758_RH"
"137","761","LF","first","","8,000","761_LF","first_761_LF","second","","7,000","761_LF","second_761_LF","third","","2,000","761_LF","third_761_LF"
"138","761","LH","first","Staph. species","246,000","761_LH","first_761_LH","second","Staph. species","81,000","761_LH","second_761_LH","third","Staph. species","70,000","761_LH","third_761_LH"
"139","761","RF","first","","6,000","761_RF","first_761_RF","second","","5,000","761_RF","second_761_RF","third","","5,000","761_RF","third_761_RF"
"140","761","RH","first","","2,000","761_RH","first_761_RH","second","","4,000","761_RH","second_761_RH","third","","4,000","761_RH","third_761_RH"
"141","763","LF","first","","3,000","763_LF","first_763_LF","second","","9,000","763_LF","second_763_LF","third","","24,000","763_LF","third_763_LF"
"142","763","LH","first","","0","763_LH","first_763_LH","second","Sample contaminated","9,000","763_LH","second_763_LH","third","","210,000","763_LH","third_763_LH"
"143","763","RF","first","Other Gram-positive bacteria","7,000","763_RF","first_763_RF","second","","8,000","763_RF","second_763_RF","third","","9,000","763_RF","third_763_RF"
"144","763","RH","first","","3,000","763_RH","first_763_RH","second","","8,000","763_RH","second_763_RH","third","","13,000","763_RH","third_763_RH"
"145","765","LF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"third","","9,000","765_LF","third_765_LF"
"146","765","LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"third","","9,000","765_LH","third_765_LH"
"147","765","RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"third","","16,000","765_RF","third_765_RF"
"148","765","RH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"third","","18,000","765_RH","third_765_RH"
"149","CB3","LF",NA,NA,NA,NA,NA,"second","","8,000","CB3_LF","second_CB3_LF","third","","3,000","CB3_LF","third_CB3_LF"
"150","CB3","LH",NA,NA,NA,NA,NA,"second","Sample contaminated","14,000","CB3_LH","second_CB3_LH","third","","12,000","CB3_LH","third_CB3_LH"
"151","CB3","RF",NA,NA,NA,NA,NA,"second","Corynebacterium species","6,000","CB3_RF","second_CB3_RF","third","","5,000","CB3_RF","third_CB3_RF"
"152","CB3","RH",NA,NA,NA,NA,NA,"second","Sample contaminated","13,000","CB3_RH","second_CB3_RH","third","Unknown organism","15,000","CB3_RH","third_CB3_RH"
"153","CB5","LF","first","Staph. species","15,000","CB5_LF","first_CB5_LF","second","Staph. species","35,000","CB5_LF","second_CB5_LF","third","Staph. species","29,000","CB5_LF","third_CB5_LF"
"154","CB5","LH","first","Staph. species","62,000","CB5_LH","first_CB5_LH","second","Staph. species","74,000","CB5_LH","second_CB5_LH","third","Staph. species","59,000","CB5_LH","third_CB5_LH"
"155","CB5","RF","first","","6,000","CB5_RF","first_CB5_RF","second","","46,000","CB5_RF","second_CB5_RF","third","","7,000","CB5_RF","third_CB5_RF"
"156","CB5","RH","first","Strep. species","4,000","CB5_RH","first_CB5_RH","second","","6,000","CB5_RH","second_CB5_RH","third","","5,000","CB5_RH","third_CB5_RH"
